시도,시군구,어린이집유형,어린이집명,전화번호,주소,latitude,longitude
대구광역시,동구,국공립,동대구에일린의뜰어린이집,053-951-7942,"대구광역시 동구 아양로9길 35 (신암동,동대구에일린의뜰)",35.8846661,128.6186175
대구광역시,동구,국공립,동대구해링턴어린이집,053-941-7379,"대구광역시 동구 경대로 126 (신암동,해링턴플레이스동대구)",35.8831598,128.6127653
대구광역시,동구,민간,뜨란채어린이집,053-957-5004,"대구광역시 동구 아양로7길 12 103동(신암동, 신암뜨란채)",35.87813,128.608145
대구광역시,동구,민간,에코어린이집,053-958-0822,대구광역시 동구 평화로 51,35.8844606,128.6174092
대구광역시,동구,직장,에코 파티마병원 직장어린이집,053-959-2268,대구광역시 동구 아양로15길 43 (신암동),35.885297,128.6231761
대구광역시,동구,국공립,동대구데시앙어린이집,053-944-1020,"대구광역시 동구 신암로20길 63 (신암동,동대구더센트로데시앙)",35.8782357,128.6135488
대구광역시,동구,국공립,신천자이어린이집,053-283-2323,"대구광역시 동구 신암로16길 25 (신천동, 신천자이아파트)",35.8771155,128.6106856
대구광역시,동구,민간,리틀하나린어린이집,053-957-3700,대구광역시 동구 신암로12길 55-1 (신천동),35.8751897,128.6115768
대구광역시,동구,민간,보미어린이집,053-954-8330,"대구광역시 동구 신암로16길 16 106동(신천동, 신천가람타운)",35.87873,128.608745
대구광역시,동구,민간,청아람어린이집,053-263-3066,"대구광역시 동구 신암로20길 39 104동(신암동, 신암청아람아파트)",35.878829999999994,128.608845
대구광역시,동구,민간,하나린어린이집,053-941-3700,대구광역시 동구 신암로12길 53 (신천동) 하나린어린이집,35.8751897,128.6115768
대구광역시,동구,가정,베베스쿨어린이집,053-745-0636,"대구광역시 동구 신암로16길 16 107동 102호(신천동, 신천가람타운)",35.87902999999999,128.609045
대구광역시,동구,가정,햇살나무어린이집,053-945-1150,"대구광역시 동구 신암로16길 25 105동102호(신천동,신천자이)",35.879129999999996,128.609145
대구광역시,동구,국공립,센트럴나린어린이집,053-942-7942,"대구광역시 동구 동대구로 577 (신암동, 이안센트럴D)",35.8817062,128.6255915
대구광역시,동구,국공립,아이유쉘키즈어린이집,053-941-7942,"대구광역시 동구 송라로32길 32 (신암동, 동대구우방아이유쉘)",35.8807095,128.6155829
대구광역시,동구,국공립,이안동대구어린이집,053-951-2814,"대구광역시 동구 송라로28길 14 (신암동, 이안동대구)",35.8794026,128.6159479
대구광역시,동구,사회복지법인,꿀벌어린이집,053-957-8846,대구광역시 동구 송라로28길 21-6 (신암동),35.8794026,128.6159479
대구광역시,동구,민간,골드클래스어린이집,053-945-0980,"대구광역시 동구 신암남로 72 103동 1층(신암동, 동대구골드클래스)",35.87963,128.609645
대구광역시,동구,민간,꿈꽃어린이집,053-943-6565,대구광역시 동구 송라로 110 (신암동),35.8679347,128.6185236
대구광역시,동구,가정,캐스빌어린이집,053-955-3411,"대구광역시 동구 신암남로 50 108동 103호(신암동, 건영캐스빌)",35.87983,128.609845
대구광역시,동구,직장,코레일 대구어린이집,053-945-5333,대구광역시 동구 동부로15길 89 (신암동),35.8772794,128.6238927
대구광역시,동구,국공립,동대구화성파크큰별어린이집,053-243-2000,"대구광역시 동구 동대구로 590 104동(신암동,동대구역화성파크드림아파트)",35.88003,128.610045
대구광역시,동구,국공립,센텀화성어린이집,053-719-3571,"대구광역시 동구 아양로 133 (신암돔, 동대구역센텀화성파크드림)",35.8934279,128.6443617
대구광역시,동구,국공립,신암어린이집,053-939-0600,대구광역시 동구 신암남로 175-1 1층(신암동),35.88023,128.61024500000002
대구광역시,동구,국공립,해모로봄날어린이집,053-286-7942,"대구광역시 동구 동북로 340 (신암동,동대구해모로스퀘어웨스트)",35.8815604,128.6370802
대구광역시,동구,사회복지법인,사회복지법인 동부어린이집,053-954-4033,대구광역시 동구 신암북로 81-3 (신암동),35.8879044,128.6241225
대구광역시,동구,민간,아이사랑한솔어린이집,053-958-0713,대구광역시 동구 신암남로28길 50-3 (신암동),35.8834508,128.6324168
대구광역시,동구,국공립,온뜨레피움어린이집,053-219-7770,대구광역시 동구 아양로 213-6,35.8952922,128.6454277
대구광역시,동구,국공립,해모로다원어린이집,053-943-2233,"대구광역시 동구 동북로75길 13 (신암동,동대구해모로스퀘어이스트)",35.8890699,128.6312702
대구광역시,동구,직장,봄봄동구청직장어린이집,053-943-7553,대구광역시 동구 아양로41길 23-9 (신암동),35.8877465,128.6364078
대구광역시,동구,사회복지법인,청구어린이집,053-421-2278,대구광역시 동구 송라로 3-6 (신천동),35.8719563,128.6190661
대구광역시,동구,사회복지법인,청산어린이집,053-425-8066,대구광역시 동구 송라로3길 13-3 (신천동),35.8698189,128.6191356
대구광역시,동구,민간,리버파크어린이집,053-422-3666,"대구광역시 동구 동부로 26 509동 단지내(신천동, 신천역센트럴리버파크)",35.88113,128.61114500000002
대구광역시,동구,민간,신천아이숲어린이집,053-423-3323,"대구광역시 동구 송라로11길 39 605동(신천동, 신천휴먼시아6단지)",35.881229999999995,128.61124500000003
대구광역시,동구,가정,앙팡어린이집,053-424-7742,"대구광역시 동구 동부로 26 508동 101호(신천동, 신천역 센트럴리버파크)",35.88133,128.611345
대구광역시,동구,국공립,동대구역센트럴시티자이어린이집,053-741-0123,"대구광역시 동구 송라로10길 33 (신천동,동대구역센트럴시티자이)",35.8722405,128.6212934
대구광역시,동구,국공립,신천어린이집,053-742-8710,대구광역시 동구 송라로6길 22 (신천동),35.8705884,128.6214489
대구광역시,동구,국공립,인(IN)반도유보라어린이집,053-716-0907,"대구광역시 동구 송라로16길 11 104동 (신천동, 동대구반도유보라)",35.881629999999994,128.611645
대구광역시,동구,사회복지법인,예일어린이집,053-743-8338,대구광역시 동구 동부로 67-1 (신천동),35.8772958,128.6294351
대구광역시,동구,민간,더샵센터시티어린이집,053-759-3536,"대구광역시 동구 동부로19길 18 (신천동,동대구역더샵센터시티)",35.8765368,128.6227573
대구광역시,동구,민간,유쉘본어린이집,053-745-0335,"대구광역시 동구 동부로 115 (신천동, 동대구역 우방아이유쉘)",35.8790106,128.6348202
대구광역시,동구,민간,햇살어린이집,053-751-3690,대구광역시 동구 송라로14길 17 (신천동),35.873308,128.6230911
대구광역시,동구,국공립,더샵온어린이집,053-721-7407,"대구광역시 동구 화랑로 33 (신천동,더샵디어엘로)",35.8768717,128.6679111
대구광역시,동구,국공립,아이비스타어린이집,053-741-5522,"대구광역시 동구 화랑로 51 (신천동,동대구비스타동원)",35.8720007,128.6350545
대구광역시,동구,국공립,산들어린이집,053-963-6565,"대구광역시 동구 금호강변로3길 9 단지내(율하동, 율하휴먼시아15단지)",35.882329999999996,128.612345
대구광역시,동구,국공립,선우어린이집,053-963-3366,"대구광역시 동구 율하서로 59 507동 1층(율하동, 율하휴먼시아5단지)",35.88243,128.612445
대구광역시,동구,국공립,선재어린이집,053-755-4888,"대구광역시 동구 율하동로8길 16 1010동 1층(율하동, 율하휴먼시아10단지)",35.882529999999996,128.612545
대구광역시,동구,국공립,율하어린이집,053-961-0361,"대구광역시 동구 안심로16길 45 601동(율하동, 율하휴먼시아6단지)",35.88263,128.61264500000001
대구광역시,동구,국공립,천사어린이집,053-961-7004,"대구광역시 동구 안심로22길 55 713동 1층 (율하동,율하휴먼시아 7단지아파트)",35.882729999999995,128.61274500000002
대구광역시,동구,사회복지법인,사회복지법인한사랑어린이집,053-961-3589,대구광역시 동구 율하동로17길 49 (율하동),35.8684405,128.6972484
대구광역시,동구,민간,금빛어린이집,053-961-0845,"대구광역시 동구 안심로16길 71 단지내(율하동, 세계육상선수촌2단지)",35.882929999999995,128.61294500000002
대구광역시,동구,민간,소명어린이집,053-962-7454,대구광역시 동구 율하동로28길 39 (신기동),35.8714123,128.7056402
대구광역시,동구,민간,숲어린이집,053-965-1115,대구광역시 동구 반야월로28길 88-9 (신기동),35.8712638,128.7037354
대구광역시,동구,민간,아이랜드어린이집,053-963-2279,대구광역시 동구 율하동로10길 17 (율하동),35.8633666,128.7016748
대구광역시,동구,민간,유쉘어린이집,053-963-6557,대구광역시 동구 금호강변로3길 22 아파트 단지내,35.883329999999994,128.613345
대구광역시,동구,민간,율빛어린이집,053-952-8866,"대구광역시 동구 율하서로 85 단지내(율하동, 육상대회선수촌아파트)",35.88343,128.613445
대구광역시,동구,민간,율원어린이집,053-965-0138,대구광역시 동구 율하동로10길 9 (율하동),35.8627544,128.7021585
대구광역시,동구,민간,키즈하버드어린이집,053-961-0071,대구광역시 동구 율하동로8길 75 키즈하버드어린이집,35.88363,128.61364500000002
대구광역시,동구,가정,누리보듬어린이집,053-964-6107,"대구광역시 동구 금호강변로3길 22 114동 102호(율하동, 우방아이유쉘아파트)",35.88373,128.61374500000002
대구광역시,동구,가정,방실방실어린이집,053-248-9644,"대구광역시 동구 금호강변로3길 22 119동 102호(율하동, 우방아이유쉘)",35.883829999999996,128.61384500000003
대구광역시,동구,가정,안아주어린이집,053-964-8005,"대구광역시 동구 안심로16길 29 단지내(율하동, 경남안아주아파트)",35.88393,128.613945
대구광역시,동구,가정,제마어린이집,053-964-8004,"대구광역시 동구 안심로22길 76 901동 102호(율하동, 율하휴먼시아9단지아파트)",35.884029999999996,128.614045
대구광역시,동구,가정,키즈로스쿨어린이집,053-965-0090,대구광역시 동구 반야월로26길 61-2 (신기동),35.8715283,128.7012114
대구광역시,동구,가정,하늘꿈어린이집,053-964-0733,대구광역시 동구 안심로16길 29 102/101(SM안아주),35.884229999999995,128.614245
대구광역시,동구,가정,행복한 캐슬 어린이집,053-965-7441,대구광역시 동구 율하서로 23 율하롯데캐슬탑클래스아파트 관리동,35.88433,128.61434500000001
대구광역시,동구,국공립,동일프로이데어린이집,053-719-3535,대구광역시 동구 동촌로 374-3 (용계동),35.8840477,128.6590885
대구광역시,동구,국공립,안심파라곤어린이집,053-247-0012,"대구광역시 동구 안심뉴타운7로 13 (율암동,대구파라곤프레스티지)",35.88453,128.61454500000002
대구광역시,동구,국공립,푸르지오리움어린이집,053-962-0036,"대구광역시 동구 화랑로108길 42 (용계동,용계역푸르지오아츠베르1단지)",35.884629999999994,128.61464500000002
대구광역시,동구,국공립,푸르지오새싹어린이집,053-963-2956,"대구광역시 동구 화랑로108길 46 (용계동,용계역푸르지오아츠베르2단지)",35.88473,128.614745
대구광역시,동구,민간,동서어린이집,053-964-5838,"대구광역시 동구 화랑로100길 17 단지내(용계동, 강변동서마을)",35.884829999999994,128.614845
대구광역시,동구,민간,프라디움도토리어린이집,053-710-2507,"대구광역시 동구 반야월로 35 (용계동, 율하시티프라디움)",35.8720241,128.716558
대구광역시,동구,가정,함초롱어린이집,053-963-1088,대구광역시 동구 반야월로 52 1층 (용계동),35.88502999999999,128.615045
대구광역시,동구,국공립,삼정해든어린이집,053-961-7755,"대구광역시 동구 반야월북로 355 (괴전동,안심역삼정그린코아더베스트)",35.872765,128.7186451
대구광역시,동구,국공립,코오롱하늘숲어린이집,053-962-1500,"대구광역시 동구 금강로21길 30 (괴전동, 안심역코오롱하늘채)",35.8660636,128.7329867
대구광역시,동구,민간,상록푸른숲어린이집,053-965-2008,"대구광역시 동구 동호로 47 관리동(동호동, 상록아파트)",35.885329999999996,128.61534500000002
대구광역시,동구,민간,아이솔어린이집,053-961-4545,"대구광역시 동구 동호로 132 관리동 (신서동, 영조아름다운나날3단지)",35.88543,128.61544500000002
대구광역시,동구,민간,영조예설어린이집,053-961-5595,"대구광역시 동구 안심로 402 (신서동, 영조아름나운나날1단지)",35.8672398,128.6964944
대구광역시,동구,민간,우방꽃가람어린이집,053-964-8553,"대구광역시 동구 금강로21길 10 관리동(괴전동, 안심역우방아이유쉘)",35.88563,128.615645
대구광역시,동구,민간,재능어린이집,053-962-1544,"대구광역시 동구 동호로 88 관리동(신서동, 영조아름다운나날2단지)",35.885729999999995,128.615745
대구광역시,동구,가정,그린어린이집,053-753-9579,"대구광역시 동구 동호로 47 203동 109호(동호동, 상록아이투빌)",35.88583,128.615845
대구광역시,동구,가정,대경어린이집,053-961-9369,"대구광역시 동구 안심로 400 106동 103호(신서동, 대경넥스빌아파트)",35.885929999999995,128.615945
대구광역시,동구,가정,상록꼬꼬마어린이집,053-963-1237,"대구광역시 동구 동호로 47 202동 107호(동호동, 동호상록아이투빌)",35.88603,128.616045
대구광역시,동구,가정,새아이사랑어린이집,053-961-9211,"대구광역시 동구 동호로 88 201동 103호(신서동, 영조아름다운나날2단지)",35.886129999999994,128.61614500000002
대구광역시,동구,가정,애플트리어린이집,053-962-7942,"대구광역시 동구 동호로 132 307동 107호(신서동, 영조아름다운나날3단지)",35.88623,128.61624500000002
대구광역시,동구,국공립,서한빛담어린이집,053-962-5959,"대구광역시 동구 반야월북로 167 (각산동, 각산서한이다음)",35.8738182,128.7181308
대구광역시,동구,사회복지법인,도담어린이집,053-961-6161,대구광역시 동구 경안로101길 14-2 (서호동),35.867322,128.7108579
대구광역시,동구,사회복지법인,린덴어린이집,053-961-1359,대구광역시 동구 신서로 71-80 (각산동),35.8722433,128.7239594
대구광역시,동구,사회복지법인,예쁜어린이집,053-964-4111,대구광역시 동구 반야월북로55길 45 (신서동),35.8737473,128.7284295
대구광역시,동구,법인.단체등,종교법인반야월중앙어린이집,053-963-3911,대구광역시 동구 경안로101길 46 (서호동),35.867322,128.7108579
대구광역시,동구,민간,데시앙키즈어린이집,053-270-2900,"대구광역시 동구 반야월북로 123 109동내(각산동, 각산태영데시앙)",35.886829999999996,128.616845
대구광역시,동구,민간,동호어린이집,053-962-0952,대구광역시 동구 안심로51길 120 동호어린이집 (동호동),35.88693,128.61694500000002
대구광역시,동구,민간,새한별어린이집,053-963-4927,대구광역시 동구 경안로105길 53 (서호동),35.8699146,128.7112923
대구광역시,동구,민간,성지어린이집,053-964-3778,대구광역시 동구 경안로 816 (각산동),35.8862229,128.7189855
대구광역시,동구,민간,신서화성파크드림어린이집,053-270-0330,"대구광역시 동구 반야월북로 221 105동(신서동, 신서화성파크드림아파트)",35.887229999999995,128.61724500000003
대구광역시,동구,민간,썸머힐어린이집,053-964-9500,대구광역시 동구 반야월북로27길 7-1 (각산동),35.8743388,128.7125427
대구광역시,동구,민간,큰사랑어린이집,053-964-6020,대구광역시 동구 반야월북로 263 (신서동),35.8734414,128.7253529
대구광역시,동구,민간,킨더리베어린이집,053-962-3960,"대구광역시 동구 반야월북로 251 단지내(신서동,신서그린빌아파트)",35.88753,128.617545
대구광역시,동구,가정,아림어린이집,053-965-7940,"대구광역시 동구 반야월로 370 303동(신서동, 신서동 신일해피트리)",35.887629999999994,128.617645
대구광역시,동구,가정,아이세상어린이집,053-962-1080,대구광역시 동구 반야월북로 269-20 (신서동),35.8734414,128.7253529
대구광역시,동구,가정,예담어린이집,053-961-7942,"대구광역시 동구 반야월북로 221 108동 101호 (신서동, 신서화성파크드림아파트)",35.887829999999994,128.61784500000002
대구광역시,동구,가정,예원어린이집,053-963-2822,"대구광역시 동구 안심로73길 22 단지내(신서동, 신서롯데캐슬레전드)",35.88793,128.61794500000002
대구광역시,동구,가정,푸르지오아트어린이집,053-961-2070,"대구광역시 동구 경안로 822 207동 101호(각산동, 각산푸르지오2단지아파트)",35.88802999999999,128.61804500000002
대구광역시,동구,직장,대구동부경찰서어린이집,053-965-7555,대구광역시 동구 반야월북로 209 (각산동),35.8738182,128.7181308
대구광역시,동구,사회복지법인,동대구어린이집,053-986-0079,대구광역시 동구 해동로6길 17 (지저동),35.8953365,128.636428
대구광역시,동구,민간,행복나무어린이집,053-983-5501,대구광역시 동구 공항로50길 75 (지저동),35.8949482,128.6395738
대구광역시,동구,사회복지법인,사회복지법인방촌어린이집,053-985-4418,대구광역시 동구 동촌로41길 34-4 (방촌동),35.8850072,128.6644688
대구광역시,동구,가정,숲소리어린이집,053-984-3177,대구광역시 동구 신평로 47,35.8790443,128.6778596
대구광역시,동구,직장,보라매어린이집,053-985-4700,대구광역시 동구 둔산로68길 32 (둔산동),35.88863,128.61864500000001
대구광역시,동구,국공립,사복행복마을 어린이집,053-267-7617,"대구광역시 동구 메디밸리로 18 (사복동, 천년나무10단지)",35.8758228,128.7493923
대구광역시,동구,국공립,새론어린이집,053-965-8682,"대구광역시 동구 과학로 45 (각산동, 대구혁신LH5단지)",35.8798924,128.7164236
대구광역시,동구,국공립,서한가온어린이집,053-965-2600,"대구광역시 동구 이노밸리로29길 34 (각산동, 대구혁신서한이다음2차)",35.8808684,128.7129558
대구광역시,동구,국공립,숙천다솜어린이집,053-965-9631,"대구광역시 동구 초례로 66 (숙천동, 대구혁신천년나무13단지",35.88903,128.619045
대구광역시,동구,국공립,혁신천년나무어린이집,053-965-3345,"대구광역시 동구 과학로 23 (각산동, 대구혁신천년나무6단지)",35.8813317,128.7156118
대구광역시,동구,민간,꿈빛어린이집,053-963-1157,"대구광역시 동구 경안로 956 관리동 (각산동, 대구혁신LH4단지)",35.88923,128.619245
대구광역시,동구,민간,바움어린이집,053-953-6400,대구광역시 동구 메디밸리로8길 11 (사복동),35.889329999999994,128.619345
대구광역시,동구,민간,봄소리어린이집,053-965-2040,"대구광역시 동구 혁신대로 450 (대림동, 대구혁신센텀힐즈)",35.8827433,128.7063058
대구광역시,동구,민간,서한이다음어린이집,053-964-0110,"대구광역시 동구 이노밸리로29길 56 203동 1층(각산동, 대구혁신도시서한이다음)",35.88952999999999,128.61954500000002
대구광역시,동구,민간,웃는아이어린이집,053-963-2220,"대구광역시 동구 과학로13길 30 (각산동, 대구혁신천년나무3단지)",35.888143,128.7165889
대구광역시,동구,민간,큰솔빅스맘어린이집,053-963-7070,"대구광역시 동구 혁신대로 504 (사복동, 서한e스테이)",35.874712,128.742311
대구광역시,동구,민간,효담어린이집,053-965-4521,"대구광역시 동구 혁신대로 443 단지내 (대림동, 서한이다음3차)",35.889829999999996,128.61984500000003
대구광역시,동구,가정,예쁜별어린이집,053-963-3438,"대구광역시 동구 메디밸리로 35 806동 106호(사복동, 대구혁신이노힐즈)",35.88993,128.619945
대구광역시,동구,가정,이노힐즈어린이집,053-214-7733,"대구광역시 동구 메디밸리로 35 (사복동, 대구혁신LH이노힐즈)",35.8758228,128.7493923
대구광역시,동구,직장,대구혁신도시 큰나래어린이집,053-964-5500,대구광역시 동구 첨복로 51 (신서동),35.8813468,128.7360262
