암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),설립구분코드,설립구분코드명,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,물리치료실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,정신과개방상급병상수,정신과개방일반병상수,격리병실병상수,무균치료실병상수
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQyNjE4MzIjNzEjJDEjJDgjJDgz,21세기내과의원,31,의원,230000,대구,230005,대구수성구,만촌동,42037,"대구광역시 수성구 화랑로 122, 1~2층 (만촌동)",053-752-2241,,2005-08-26 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.6401431,35.8733292,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,21세기연합소아과의원,31,의원,230000,대구,230005,대구수성구,만촌동,42037,"대구광역시 수성구 화랑로 122, (만촌동)",053-752-3101,,2005-08-26 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.6401431,35.8733292,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ3OSQzNjEwMDIjNDEjJDEjJDgjJDgz,21세기정형외과의원,31,의원,230000,대구,230005,대구수성구,만촌동,42037,"대구광역시 수성구 화랑로 122, (만촌동)",053-752-2100,,2005-08-26 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.6401431,35.8733292,12,개인,3,26,0,0,0,0,0,0,18,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz,365강추한의원,93,한의원,230000,대구,230003,대구북구,노원동3가,41557,"대구광역시 북구 팔달로 175, 2층 (노원동3가)",053-353-1175,365kangchu.co.kr,2020-12-31 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.5693807,35.8888877,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,365경대연합내과의원,31,의원,230000,대구,230005,대구수성구,수성동3가,42119,"대구광역시 수성구 들안로 274, 2,6층 (수성동3가)",053-741-7575,,2022-04-26 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.6175544,35.8544871,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365광장속내과의원,31,의원,230000,대구,230005,대구수성구,신매동,42274,"대구광역시 수성구 신매로19길 46, 3층 (신매동)",053-793-0365,,2024-09-11 00:00:00,4,0,0,0,4,0,0,0,0,0,0,0,0,0,128.7072458,35.8394895,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ2MiQzNjE0ODEjODEjJDEjJDIjJDgz,365늘속편한내과의원,31,의원,230000,대구,230003,대구북구,구암동,41424,"대구광역시 북구 학정로 440, 5층 (구암동)",053-325-0365,,2017-02-27 00:00:00,3,0,0,0,3,0,0,0,0,0,0,0,0,0,128.5642443,35.9437408,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,365봄날한의원,93,한의원,230000,대구,230007,대구달서구,대천동,42759,"대구광역시 달서구 조암로 149, 201호 (대천동)",053-633-3633,,2018-06-28 00:00:00,3,0,0,0,0,0,0,0,0,3,0,0,0,0,128.5160198,35.8190938,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQwMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,365상쾌한속연합내과의원,31,의원,230000,대구,230007,대구달서구,이곡동,42620,"대구광역시 달서구 이곡공원로 12, 3층 (이곡동)",053-588-0365,,2023-04-13 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.5087056,35.8550091,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,365열린우리의원,31,의원,230000,대구,230007,대구달서구,송현동,42737,"대구광역시 달서구 월배로 491, 1호 (송현동)",053-625-3651,,2024-03-18 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5564844,35.8367982,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,365열린종합내과의원,31,의원,230000,대구,230007,대구달서구,송현동,42742,"대구광역시 달서구 월배로 327, 4층 (송현동)",053-652-3655,,2008-09-02 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5460481,35.8248838,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQ4MiQyNjEyMjIjNjEjJDEjJDgjJDgz,55플란트치과의원,51,치과의원,230000,대구,230001,대구남구,대명동,42482,"대구광역시 남구 대명로 6, 6,7층 (대명동)",053-654-0055,,2021-08-17 00:00:00,3,0,0,0,0,2,0,0,1,0,0,0,0,0,128.5582328,35.8373699,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNjEjJDEjJDQjJDgz,7월7일 치과의원,51,치과의원,230000,대구,230004,대구서구,평리동,41824,"대구광역시 서구 서대구로 116, 3층 (평리동)",053-568-0707,,2022-04-25 00:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,128.5557018,35.8681861,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNDEjJDEjJDgjJDgz,9988정형외과의원,31,의원,230000,대구,230005,대구수성구,수성동1가,42122,"대구광역시 수성구 수성로 353, 1층일부, 2~4층 (수성동1가)",053-784-9988,,2021-12-15 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.6135704,35.8571002,12,개인,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDgjJDgz,e드림치과의원,51,치과의원,230000,대구,230007,대구달서구,대천동,42778,"대구광역시 달서구 진천로 92, 3층 (대천동)",053-633-3060,,2004-06-24 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128.523654,35.8171867,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,LA남경치과의원,51,치과의원,230000,대구,230002,대구동구,신암동,41218,"대구광역시 동구 아양로 178, 3층 (신암동, 동창빌딩)",053-958-2875,,1999-07-29 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128.6326299,35.8853717,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,MS재건병원,21,병원,230000,대구,230006,대구중구,동인동1가,41905,"대구광역시 중구 동덕로 194, (동인동1가, 동화빌딩)",053-653-0119,http://www.msrhospital.kr,2007-08-22 00:00:00,13,0,0,0,13,0,0,0,0,0,0,0,0,0,128.6048872,35.8718541,12,개인,8,193,0,0,0,0,6,0,12,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNTEjJDEjJDIjJDgz,M병원,29,정신병원,230000,대구,230003,대구북구,노원동3가,41557,"대구광역시 북구 팔달로 147, (노원동3가)",053-359-3771,,2001-10-05 00:00:00,6,0,0,0,6,0,0,0,0,0,0,0,0,0,128.5662077,35.8893868,12,개인,0,0,0,0,0,0,1,0,4,7,200,2,21,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,S성형외과의원,31,의원,230000,대구,230006,대구중구,남일동,41935,"대구광역시 중구 중앙대로 421, (남일동)",053-431-5678,,2011-04-01 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5937488,35.8707162,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,W여성병원,21,병원,230000,대구,230005,대구수성구,만촌동,42038,"대구광역시 수성구 화랑로 58, (만촌동)",053-757-2000,,2003-05-19 00:00:00,8,0,0,0,8,0,0,0,0,0,0,0,0,0,128.6339412,35.8708049,12,개인,10,20,0,0,0,2,2,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQyIyQ1IyQwMCQyNjE0ODEjNTEjJDEjJDIjJDgz,가가성형외과의원,31,의원,230000,대구,230006,대구중구,봉산동,41943,"대구광역시 중구 동성로1길 38, 3층 (봉산동)",053-427-8877,,2001-09-22 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5954218,35.8661065,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz,가나정형외과의원,31,의원,230000,대구,230100,대구달성군,유가읍,43018,"대구광역시 달성군 유가면 테크노상업로 100, 5층 502호 (테크노시티)",053-961-8119,,2015-11-19 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.460505,35.6932523,12,개인,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNTEjJDEjJDYjJDgz,가람한의원,93,한의원,230000,대구,230003,대구북구,산격동,41543,"대구광역시 북구 대학로 5, (산격동)",053-941-0144,,1991-11-26 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.6022712,35.8885673,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQxIyQ1IyQ3OSQzNjEyMjIjODEjJDEjJDIjJDgz,가야한의원,93,한의원,230000,대구,230007,대구달서구,두류동,42660,"대구광역시 달서구 달구벌대로 1804, 2층 (두류동)",053-629-8275,,1995-04-10 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.5623205,35.8591184,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,가온한의원,93,한의원,230000,대구,230007,대구달서구,용산동,42627,"대구광역시 달서구 용산로 230, (용산동)",053-568-1275,,2013-08-01 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.5308452,35.8580488,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQ5IyQwMyQzNjE4MzIjODEjJDEjJDYjJDgz,가온해치과의원,51,치과의원,230000,대구,230007,대구달서구,월성동,42753,"대구광역시 달서구 조암로 40, 3층 (월성동)",053-636-2275,,2017-06-16 00:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,128.5253338,35.8248065,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,가원한의원,93,한의원,230000,대구,230003,대구북구,관음동,41443,"대구광역시 북구 칠곡중앙대로 457, (관음동)",053-311-1075,,2007-08-20 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.5487416,35.9365848,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,가인치과의원,51,치과의원,230000,대구,230002,대구동구,신기동,41119,"대구광역시 동구 율하동로23길 2, (신기동)",053-964-2875,,1993-07-31 00:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,128.7017482,35.8700234,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,가족사랑정신과의원,31,의원,230000,대구,230006,대구중구,덕산동,41943,"대구광역시 중구 달구벌대로 2111, (덕산동)",053-422-7901,http://www.mind-clinic.com/,2004-04-06 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5947713,35.865575,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMzUxIzExIyQxIyQ3IyQwMyQzNjE4MzIjODEjJDEjJDYjJDgz,가주치과의원,51,치과의원,230000,대구,230005,대구수성구,범물동,42209,"대구광역시 수성구 지범로 188, 303호 (범물동, 청구리빙월드)",053-782-0674,,1996-06-13 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128.6395144,35.8207946,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,가지런이치과교정과치과의원,51,치과의원,230000,대구,230006,대구중구,삼덕동2가,41940,"대구광역시 중구 달구벌대로 2163, 4층 (삼덕동2가)",053-255-2885,,2014-04-01 00:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,128.5999498,35.8640672,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjE0ODEjNzEjJDEjJDgjJDgz,가창본한의원,93,한의원,230000,대구,230100,대구달성군,가창면,42934,"대구광역시 달성군 가창면 가창로 1094, 1층",053-768-1075,,1999-01-14 00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,128.6226372,35.8021657,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,가창스마일치과의원,51,치과의원,230000,대구,230100,대구달성군,가창면,42934,"대구광역시 달성군 가창면 가창로 1094, 1094",053-755-7528,,2011-05-23 00:00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128.6226372,35.8021657,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz,가창의원,31,의원,230000,대구,230100,대구달성군,가창면,42935,"대구광역시 달성군 가창면 가창로216길 61, 2층",053-763-3119,,2013-05-31 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.6235853,35.8044062,12,개인,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNzEjJDEjJDgjJDgz,가창파티마요양병원,28,요양병원,230000,대구,230100,대구달성군,가창면,42939,"대구광역시 달성군 가창면 가창로85길 24-6, (가창면)",053-295-7000,,2016-04-28 00:00:00,5,0,0,0,4,0,0,0,0,1,0,0,0,0,128.6497959,35.7499693,12,개인,7,143,0,0,0,0,0,0,12,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ4OSQyNjEyMjIjNTEjJDEjJDYjJDgz,가톨릭건강의원,31,의원,230000,대구,230003,대구북구,동천동,41431,"대구광역시 북구 구암로 149, 2층 (동천동)",053-313-0400,,2016-03-16 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.5571618,35.9319924,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭마취통증의학과의원,31,의원,230000,대구,230001,대구남구,대명동,42482,"대구광역시 남구 월배로 492, (대명동)",053-242-8875,,2010-04-23 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5569949,35.8365594,12,개인,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjODEjJDEjJDYjJDgz,가톨릭비뇨기과의원,31,의원,230000,대구,230003,대구북구,읍내동,41438,"대구광역시 북구 칠곡중앙대로 442, 2층, 3층 (읍내동)",053-325-0021,,2020-03-16 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5491184,35.9351576,12,개인,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQyIyQzIyQwMCQzNjE0ODEjNDEjJDEjJDgjJDgz,가톨릭비뇨의학과의원,31,의원,230000,대구,230006,대구중구,시장북로,41921,"대구광역시 중구 달성로 76, 1층 (시장북로)",053-423-0021,http://www.urokap.com/,2020-06-17 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5824688,35.8718726,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,가톨릭서부내과의원,31,의원,230000,대구,230007,대구달서구,송현동,42737,"대구광역시 달서구 월배로 473, 3층 (송현동)",053-477-8275,,2020-04-02 00:00:00,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.5556116,35.8354726,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,가톨릭소아청소년과의원,31,의원,230000,대구,230100,대구달성군,화원읍,42960,"대구광역시 달성군 화원읍 명곡로 14, 303호",053-639-3676,,2000-06-28 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.496121,35.7984484,12,개인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNDEjJDEjJDgjJDgz,가톨릭신경외과의원,31,의원,230000,대구,230002,대구동구,신암동,41208,"대구광역시 동구 아양로 56, (신암동)",053-941-3119,,2006-01-25 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.6202547,35.882153,12,개인,0,29,0,0,0,0,0,0,13,0,0,0,0,0,0
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQxMyQyNjEyMjIjODEjJDEjJDYjJDgz,가톨릭안과의원,31,의원,230000,대구,230007,대구달서구,이곡동,42612,"대구광역시 달서구 계대동문로 120, 3층 (이곡동)",053-591-6006,,1998-12-29 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.5055733,35.8551323,12,개인,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
