시도,시군구,어린이집유형,어린이집명,전화번호,주소
대구광역시,동구,국공립,선재어린이집,053-755-4888,"대구광역시 동구 율하동로8길 16 1010동 1층(율하동, 율하휴먼시아10단지)"
대구광역시,동구,국공립,율하어린이집,053-961-0361,"대구광역시 동구 안심로16길 45 601동(율하동, 율하휴먼시아6단지)"
대구광역시,동구,국공립,천사어린이집,053-961-7004,"대구광역시 동구 안심로22길 55 713동 1층 (율하동,율하휴먼시아 7단지아파트)"
대구광역시,동구,사회복지법인,사회복지법인한사랑어린이집,053-961-3589,대구광역시 동구 율하동로17길 49 (율하동)
대구광역시,동구,민간,금빛어린이집,053-961-0845,"대구광역시 동구 안심로16길 71 단지내(율하동, 세계육상선수촌2단지)"
대구광역시,동구,민간,소명어린이집,053-962-7454,대구광역시 동구 율하동로28길 39 (신기동)
대구광역시,동구,민간,숲어린이집,053-965-1115,대구광역시 동구 반야월로28길 88-9 (신기동)
대구광역시,동구,민간,아이랜드어린이집,053-963-2279,대구광역시 동구 율하동로10길 17 (율하동)
대구광역시,동구,민간,유쉘어린이집,053-963-6557,대구광역시 동구 금호강변로3길 22 아파트 단지내
대구광역시,동구,민간,율빛어린이집,053-952-8866,"대구광역시 동구 율하서로 85 단지내(율하동, 육상대회선수촌아파트)"
대구광역시,동구,민간,율원어린이집,053-965-0138,대구광역시 동구 율하동로10길 9 (율하동)
대구광역시,동구,민간,키즈하버드어린이집,053-961-0071,대구광역시 동구 율하동로8길 75 키즈하버드어린이집
대구광역시,동구,가정,누리보듬어린이집,053-964-6107,"대구광역시 동구 금호강변로3길 22 114동 102호(율하동, 우방아이유쉘아파트)"
대구광역시,동구,가정,방실방실어린이집,053-248-9644,"대구광역시 동구 금호강변로3길 22 119동 102호(율하동, 우방아이유쉘)"
대구광역시,동구,가정,안아주어린이집,053-964-8005,"대구광역시 동구 안심로16길 29 단지내(율하동, 경남안아주아파트)"
대구광역시,동구,가정,제마어린이집,053-964-8004,"대구광역시 동구 안심로22길 76 901동 102호(율하동, 율하휴먼시아9단지아파트)"
대구광역시,동구,가정,키즈로스쿨어린이집,053-965-0090,대구광역시 동구 반야월로26길 61-2 (신기동)
대구광역시,동구,가정,하늘꿈어린이집,053-964-0733,대구광역시 동구 안심로16길 29 102/101(SM안아주)
대구광역시,동구,가정,행복한 캐슬 어린이집,053-965-7441,대구광역시 동구 율하서로 23 율하롯데캐슬탑클래스아파트 관리동
대구광역시,동구,국공립,동일프로이데어린이집,053-719-3535,대구광역시 동구 동촌로 374-3 (용계동)
대구광역시,동구,국공립,안심파라곤어린이집,053-247-0012,"대구광역시 동구 안심뉴타운7로 13 (율암동,대구파라곤프레스티지)"
대구광역시,동구,국공립,푸르지오리움어린이집,053-962-0036,"대구광역시 동구 화랑로108길 42 (용계동,용계역푸르지오아츠베르1단지)"
대구광역시,동구,국공립,푸르지오새싹어린이집,053-963-2956,"대구광역시 동구 화랑로108길 46 (용계동,용계역푸르지오아츠베르2단지)"
대구광역시,동구,민간,동서어린이집,053-964-5838,"대구광역시 동구 화랑로100길 17 단지내(용계동, 강변동서마을)"
대구광역시,동구,민간,프라디움도토리어린이집,053-710-2507,"대구광역시 동구 반야월로 35 (용계동, 율하시티프라디움)"
대구광역시,동구,가정,함초롱어린이집,053-963-1088,대구광역시 동구 반야월로 52 1층 (용계동)
대구광역시,동구,국공립,삼정해든어린이집,053-961-7755,"대구광역시 동구 반야월북로 355 (괴전동,안심역삼정그린코아더베스트)"
대구광역시,동구,국공립,코오롱하늘숲어린이집,053-962-1500,"대구광역시 동구 금강로21길 30 (괴전동, 안심역코오롱하늘채)"
대구광역시,동구,민간,상록푸른숲어린이집,053-965-2008,"대구광역시 동구 동호로 47 관리동(동호동, 상록아파트)"
대구광역시,동구,민간,아이솔어린이집,053-961-4545,"대구광역시 동구 동호로 132 관리동 (신서동, 영조아름다운나날3단지)"
대구광역시,동구,민간,영조예설어린이집,053-961-5595,"대구광역시 동구 안심로 402 (신서동, 영조아름나운나날1단지)"
대구광역시,동구,민간,우방꽃가람어린이집,053-964-8553,"대구광역시 동구 금강로21길 10 관리동(괴전동, 안심역우방아이유쉘)"
대구광역시,동구,민간,재능어린이집,053-962-1544,"대구광역시 동구 동호로 88 관리동(신서동, 영조아름다운나날2단지)"
대구광역시,동구,가정,그린어린이집,053-753-9579,"대구광역시 동구 동호로 47 203동 109호(동호동, 상록아이투빌)"
대구광역시,동구,가정,대경어린이집,053-961-9369,"대구광역시 동구 안심로 400 106동 103호(신서동, 대경넥스빌아파트)"
대구광역시,동구,가정,상록꼬꼬마어린이집,053-963-1237,"대구광역시 동구 동호로 47 202동 107호(동호동, 동호상록아이투빌)"
대구광역시,동구,가정,새아이사랑어린이집,053-961-9211,"대구광역시 동구 동호로 88 201동 103호(신서동, 영조아름다운나날2단지)"
대구광역시,동구,가정,애플트리어린이집,053-962-7942,"대구광역시 동구 동호로 132 307동 107호(신서동, 영조아름다운나날3단지)"
대구광역시,동구,국공립,서한빛담어린이집,053-962-5959,"대구광역시 동구 반야월북로 167 (각산동, 각산서한이다음)"
대구광역시,동구,사회복지법인,도담어린이집,053-961-6161,대구광역시 동구 경안로101길 14-2 (서호동)
대구광역시,동구,사회복지법인,린덴어린이집,053-961-1359,대구광역시 동구 신서로 71-80 (각산동)
대구광역시,동구,사회복지법인,예쁜어린이집,053-964-4111,대구광역시 동구 반야월북로55길 45 (신서동)
대구광역시,동구,법인.단체등,종교법인반야월중앙어린이집,053-963-3911,대구광역시 동구 경안로101길 46 (서호동)
대구광역시,동구,민간,데시앙키즈어린이집,053-270-2900,"대구광역시 동구 반야월북로 123 109동내(각산동, 각산태영데시앙)"
대구광역시,동구,민간,동호어린이집,053-962-0952,대구광역시 동구 안심로51길 120 동호어린이집 (동호동)
대구광역시,동구,민간,새한별어린이집,053-963-4927,대구광역시 동구 경안로105길 53 (서호동)
대구광역시,동구,민간,성지어린이집,053-964-3778,대구광역시 동구 경안로 816 (각산동)
대구광역시,동구,민간,신서화성파크드림어린이집,053-270-0330,"대구광역시 동구 반야월북로 221 105동(신서동, 신서화성파크드림아파트)"
대구광역시,동구,민간,썸머힐어린이집,053-964-9500,대구광역시 동구 반야월북로27길 7-1 (각산동)
대구광역시,동구,민간,큰사랑어린이집,053-964-6020,대구광역시 동구 반야월북로 263 (신서동)
대구광역시,동구,민간,킨더리베어린이집,053-962-3960,"대구광역시 동구 반야월북로 251 단지내(신서동,신서그린빌아파트)"
대구광역시,동구,가정,아림어린이집,053-965-7940,"대구광역시 동구 반야월로 370 303동(신서동, 신서동 신일해피트리)"
대구광역시,동구,가정,아이세상어린이집,053-962-1080,대구광역시 동구 반야월북로 269-20 (신서동)
대구광역시,동구,가정,예담어린이집,053-961-7942,"대구광역시 동구 반야월북로 221 108동 101호 (신서동, 신서화성파크드림아파트)"
대구광역시,동구,가정,예원어린이집,053-963-2822,"대구광역시 동구 안심로73길 22 단지내(신서동, 신서롯데캐슬레전드)"
대구광역시,동구,가정,푸르지오아트어린이집,053-961-2070,"대구광역시 동구 경안로 822 207동 101호(각산동, 각산푸르지오2단지아파트)"
대구광역시,동구,직장,대구동부경찰서어린이집,053-965-7555,대구광역시 동구 반야월북로 209 (각산동)
대구광역시,동구,사회복지법인,동대구어린이집,053-986-0079,대구광역시 동구 해동로6길 17 (지저동)
대구광역시,동구,민간,행복나무어린이집,053-983-5501,대구광역시 동구 공항로50길 75 (지저동)
대구광역시,동구,사회복지법인,사회복지법인방촌어린이집,053-985-4418,대구광역시 동구 동촌로41길 34-4 (방촌동)
대구광역시,동구,가정,숲소리어린이집,053-984-3177,대구광역시 동구 신평로 47
대구광역시,동구,직장,보라매어린이집,053-985-4700,대구광역시 동구 둔산로68길 32 (둔산동)
대구광역시,동구,국공립,사복행복마을 어린이집,053-267-7617,"대구광역시 동구 메디밸리로 18 (사복동, 천년나무10단지)"
대구광역시,동구,국공립,새론어린이집,053-965-8682,"대구광역시 동구 과학로 45 (각산동, 대구혁신LH5단지)"
대구광역시,동구,국공립,서한가온어린이집,053-965-2600,"대구광역시 동구 이노밸리로29길 34 (각산동, 대구혁신서한이다음2차)"
대구광역시,동구,국공립,숙천다솜어린이집,053-965-9631,"대구광역시 동구 초례로 66 (숙천동, 대구혁신천년나무13단지"
대구광역시,동구,국공립,혁신천년나무어린이집,053-965-3345,"대구광역시 동구 과학로 23 (각산동, 대구혁신천년나무6단지)"
대구광역시,동구,민간,꿈빛어린이집,053-963-1157,"대구광역시 동구 경안로 956 관리동 (각산동, 대구혁신LH4단지)"
대구광역시,동구,민간,바움어린이집,053-953-6400,대구광역시 동구 메디밸리로8길 11 (사복동)
대구광역시,동구,민간,봄소리어린이집,053-965-2040,"대구광역시 동구 혁신대로 450 (대림동, 대구혁신센텀힐즈)"
대구광역시,동구,민간,서한이다음어린이집,053-964-0110,"대구광역시 동구 이노밸리로29길 56 203동 1층(각산동, 대구혁신도시서한이다음)"
대구광역시,동구,민간,웃는아이어린이집,053-963-2220,"대구광역시 동구 과학로13길 30 (각산동, 대구혁신천년나무3단지)"
대구광역시,동구,민간,큰솔빅스맘어린이집,053-963-7070,"대구광역시 동구 혁신대로 504 (사복동, 서한e스테이)"
대구광역시,동구,민간,효담어린이집,053-965-4521,"대구광역시 동구 혁신대로 443 단지내 (대림동, 서한이다음3차)"
대구광역시,동구,가정,예쁜별어린이집,053-963-3438,"대구광역시 동구 메디밸리로 35 806동 106호(사복동, 대구혁신이노힐즈)"
대구광역시,동구,가정,이노힐즈어린이집,053-214-7733,"대구광역시 동구 메디밸리로 35 (사복동, 대구혁신LH이노힐즈)"
대구광역시,동구,직장,대구혁신도시 큰나래어린이집,053-964-5500,대구광역시 동구 첨복로 51 (신서동)
대구광역시,동구,직장,신용보증기금어린이집,053-430-4570,대구광역시 동구 첨단로 7 (신서동)
대구광역시,동구,직장,한국가스공사 늘푸른어린이집,053-964-1312,대구광역시 동구 동내로20길 34 (동내동)
대구광역시,동구,직장,한국부동산원 한누리어린이집,053-663-8123,대구광역시 동구 이노밸리로 291 한국부동산원 1층(신서동)
대구광역시,동구,국공립,동문어린이집,053-958-0156,대구광역시 동구 아양로40길 30 (효목동)
대구광역시,동구,민간,병아리어린이집,053-958-8584,대구광역시 동구 화랑로41길 2 (효목동)
대구광역시,동구,민간,세원어린이집,053-951-7447,대구광역시 동구 효목로17길 50 (효목동)
대구광역시,동구,민간,한솔어린이집,053-956-6273,대구광역시 동구 아양로46길 100 (효목동)
대구광역시,동구,국공립,푸르지오로이어린이집,053-755-1230,"대구광역시 동구 효목로5길 55 105동(효목동,동대구푸르지오브리센트아파트)"
대구광역시,동구,국공립,행복한비스타어린이집,053-219-1114,"대구광역시 동구 화랑로25길 60 (효목동, 동대구2차비스타동원)"
대구광역시,동구,국공립,효목2동어린이집,053-746-5558,대구광역시 동구 화랑로25길 45 효목2동행정복지센터 1층 (효목동)
대구광역시,동구,민간,딩동댕어린이집,053-754-1231,대구광역시 동구 효목로1길 85 (효목동)
대구광역시,동구,민간,메트로페찌어린이집,053-759-0808,"대구광역시 동구 동북로 500 관리동 (효목동,태왕메트로시티)"
대구광역시,동구,민간,효목어린이집,053-743-1911,대구광역시 동구 효목로13길 23 (효목동)
대구광역시,동구,가정,민들레 어린이집,053-741-6585,"대구광역시 동구 동북로 500 109동 107호(효목동, 태왕메트로시티)"
대구광역시,서구,국공립,구립 분도어린이집,053-558-2645,대구광역시 서구 달구벌대로365길 3 (서구종합사회복지관내) (내당동)
대구광역시,서구,국공립,구립 아이편한숲어린이집,053-554-0964,대구광역시 서구 달구벌대로361길 41
대구광역시,서구,민간,유라어린이집,053-562-4279,대구광역시 서구 서대구로6길 31-2 (내당동)
대구광역시,서구,가정,해오름어린이집,053-556-7098,대구광역시 서구 통학로7길 19 (내당동)
대구광역시,서구,직장,대구서부경찰서어린이집,053-565-3312,대구광역시 서구 통학로 33
대구광역시,서구,국공립,구립 위즈키즈어린이집,053-522-7953,대구광역시 서구 달서로5길 29
대구광역시,서구,사회복지법인,내당어린이집,053-558-3425,대구광역시 서구 달서로5길 11-10 (내당동)
대구광역시,서구,민간,다인어린이집,053-523-0079,대구광역시 서구 달서로7길 9 (내당동)
대구광역시,서구,민간,동아어린이집,053-571-3431,대구광역시 서구 큰장로9길 9 (내당동)
대구광역시,서구,법인.단체등,기쁨어린이집,053-554-3511,대구광역시 서구 서대구로5길 63 (내당동)
대구광역시,서구,민간,경운어린이집,053-557-7955,대구광역시 서구 평리로50길 7 (내당동)
대구광역시,서구,가정,트리니티어린이집,053-555-1855,대구광역시 서구 서대구로3길 69 (내당동)
대구광역시,서구,국공립,비산어린이집,053-565-6345,대구광역시 서구 북비산로59길 15-6 (비산동)
대구광역시,서구,민간,늘푸른어린이집,053-559-0580,대구광역시 서구 달서로43길 22 (비산동)
대구광역시,서구,민간,행복한사과나무어린이집,053-566-9023,대구광역시 서구 북비산로65길 47-1 (비산동)
대구광역시,서구,사회복지법인,초롱어린이집,053-551-0020,대구광역시 서구 국채보상로83길 39-7 (비산동)
대구광역시,서구,민간,아이성어린이집,053-563-7922,대구광역시 서구 국채보상로83길 49 (비산동)
대구광역시,서구,국공립,비산4동어린이집,053-572-4451,대구광역시 서구 달서로18길 22 (비산동)
대구광역시,서구,가정,꼬마대통령어린이집,053-523-0425,"대구광역시 서구 달서로17길 17 101동 105호(비산동, 한신휴플러스)"
대구광역시,서구,국공립,구립 인지어린이집,053-351-1259,대구광역시 서구 서대구로68길 12 (비산동)
대구광역시,서구,민간,리라어린이집,053-351-6459,대구광역시 서구 서대구로68길 58-8 (비산동)
대구광역시,서구,민간,푸른연세어린이집,053-555-0761,대구광역시 서구 문화로 321-1 (평리동)
대구광역시,서구,국공립,별하늘어린이집,053-357-2405,대구광역시 서구 염색공단로9길 5-8 (비산동)
대구광역시,서구,민간,행복이가득한어린이집,053-341-7179,대구광역시 서구 달서천로53길 18 (비산동)
대구광역시,서구,국공립,구립 온누리어린이집,053-571-5557,대구광역시 서구 당산로47길 114 (중리동)
